"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM"
1489,402,38165,159012,"Lipid","Endocannabinoid",2180,"NAMED","HXYVTAGFYLMHSO-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC(NCCO)=O","palmitoyl ethanolamide","palmitoyl ethanolamide","544-31-0","4509","HMDB0002100","C16512","4671","Pos Late"
1518,402,44877,164219,"Lipid","Ceramides",3040,"NAMED","YDNKGFDKKRUKPY-TURZORIXSA-N","OC[C@@H]([C@H](O)/C=C/CCCCCCCCCCCCC)NC(CCCCCCCCCCCCCCC)=O","N-palmitoyl-sphingosine (d18:1/16:0)","N-palmitoyl-sphingosine (d18:1/16:0)","24696-26-2","4446677","HMDB0004949",NA,"5283564","Pos Late"
1526,402,19263,164198,"Lipid","Phosphatidylethanolamine (PE)",2426,"NAMED","FHQVHHIBKUMWTI-OTMQOFQLSA-N","CCCCCCCC\C=C/CCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+]([H])([H])[H])=O)[H])=O","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","26662-94-2","4446615","HMDB0005320",NA,"5283496","Pos Late"
1528,402,52450,210818,"Lipid","Phosphatidylinositol (PI)",2554,"NAMED","BSNJSZUDOMPYIR-DMDPBSJXSA-N","O=C(CCCCCCC/C=C\C/C=C\CCCCC)O[C@@H](COP(OC1C(O)C(O)C(O)C(O)C1O)(O)=O)COC(CCCCCCCCCCCCCCC)=O","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)",NA,"21403024","HMDB0009784",NA,"46891795","Pos Late"
1537,402,42446,165129,"Lipid","Phosphatidylcholine (PC)",2304,"NAMED","JLPULHDHAOZNQI-ZTIMHPMXSA-N","O=P([O-])(OC[C@@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)OCC[N+](C)(C)C","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","40811-94-7","4450224","HMDB0007973",NA,"5287971","Pos Late"
1538,402,19503,164530,"Lipid","Sphingomyelins",3125,"NAMED","LKQLRGMMMAHREN-YJFXYUILSA-N","CCCCCCCCCCCCCCCCCC(N[C@@](COP([O-])(OCC[N+](C)(C)C)=O)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H])=O","stearoyl sphingomyelin (d18:1/18:0)","stearoyl sphingomyelin (d18:1/18:0)","85187-10-6,85187-10-6","4956085","HMDB0001348","C00550","6453725","Pos Late"
1539,402,52461,165127,"Lipid","Phosphatidylcholine (PC)",2301,"NAMED","WTJKGGKOPKCXLL-PFDVCBLKSA-N","O=C(CCCCCCC/C=C\CCCCCCCC)O[C@@H](COC(CCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","26853-31-6,26853-31-6","4940699","HMDB0007972","C13875","6436017","Pos Late"
1547,402,54979,208064,"Lipid","Ceramides",3044,"NAMED","VODZWWMEJITOND-NXCSZAMKSA-N","OC[C@H](NC(CCCCCCCCCCCCCCCCC)=O)[C@H](O)/C=C/CCCCCCCCCCCCC","N-stearoyl-sphingosine (d18:1/18:0)*","N-stearoyl-sphingosine (d18:1/18:0)*","104404-17-3","4446678","HMDB0004950",NA,"5283565","Pos Late"
1548,209,12358,124841,"Cofactors and Vitamins","Tetrahydrobiopterin Metabolism",4411,"NAMED","LHQIJBMDNUYRAM-AWFVSMACSA-N","O=C1C2=NC([C@H](O)[C@H](O)C)=CNC2=NC(N)=N1","biopterin","biopterin","22150-76-1","392795","HMDB0000468","C06313","445040","Neg"
1629,209,18494,124667,"Lipid","Primary Bile Acid Metabolism",3482,"NAMED","BHTRKEVKTKCXOH-BJLOMENOSA-N","C[C@@]12[C@@]([H])(CC[C@@]2([C@@H](CCC(NCCS(O)(=O)=O)=O)C)[H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1","taurochenodeoxycholate","taurochenodeoxycholate","6009-98-9","343282","HMDB0000951","C05465","387316","Neg"
1648,209,18497,125762,"Lipid","Primary Bile Acid Metabolism",3475,"NAMED","WBWWGRHZICKQGZ-HGVCTONRSA-N","C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@]([C@H](O)C[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O","taurocholate","taurocholate","145-42-6",NA,"HMDB0000036","C05122","6675,46783527","Neg"
1668,209,12261,124839,"Lipid","Secondary Bile Acid Metabolism",3509,"NAMED","AWDRATDZQPNJFN-RZGBOAIJSA-N","C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@](CC[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O","taurodeoxycholate","taurodeoxycholate","207737-97-1","2015539","HMDB0000896","C05463","2733768","Neg"
1869,209,18281,124655,"Xenobiotics","Benzoate Metabolism",4487,"NAMED","ONJSZLXSECQROL-UHFFFAOYSA-N","O=C(C1=CC=CC=C1O)NCC(O)=O","2-hydroxyhippurate (salicylurate)","2-hydroxyhippurate (salicylurate)","487-54-7","9835","HMDB0000840","C07588","10253","Neg"
2029,209,18362,124661,"Lipid","Fatty Acid, Dicarboxylate",1697,"NAMED","BDJRBEYXGGNYIS-UHFFFAOYSA-N","O=C(O)CCCCCCCC(O)=O","azelate (C9-DC)","azelate (C9-DC)","123-99-9","2179","HMDB0000784","C08261","2266","Neg"
2050,209,18467,126840,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1578,"NAMED","JAZBEHYOTPTENJ-JLNKQSITSA-N","O=C(O)CCC\C=C/C/C=C\C/C=C\C/C=C\C/C=C\CC","eicosapentaenoate (EPA; 20:5n3)","eicosapentaenoate (EPA; 20:5n3)","10-2005-9,10417-94-4","393682","HMDB0001999","C06428","446284","Neg"
2051,305,15745,146490,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",415,"NAMED","WXUAQHNMJWJLTG-UHFFFAOYSA-N","CC(C(O)=O)CC(O)=O","methylsuccinate","methylsuccinate","498-21-5","9922","HMDB0001844",NA,"10349","Polar"
2054,305,15765,147158,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",412,"NAMED","UKFXDFUAPNAMPJ-UHFFFAOYSA-N","CCC(C(O)=O)C(O)=O","ethylmalonate","ethylmalonate","601-75-2","11263","HMDB0000622",NA,"11756","Polar"
100000007,400,15500,155554,"Lipid","Carnitine Metabolism",1950,"NAMED","PHIQHXFUZVPYII-ZCFIWIBFSA-N","[O-]C(C[C@@H](O)C[N+](C)(C)C)=O","carnitine","carnitine","461-05-2","10455","HMDB0000062","C00487,C00308","288","Pos Early"
100000008,209,15778,124867,"Xenobiotics","Benzoate Metabolism",4498,"NAMED","WPYMKLBDIGXBTP-UHFFFAOYSA-N","OC(C1=CC=CC=C1)=O","benzoate","benzoate","65-85-0","238","HMDB0001870","C00180","243","Neg"
100000010,209,15749,126035,"Xenobiotics","Benzoate Metabolism",4596,"NAMED","XMIIGOLPHOKFCH-UHFFFAOYSA-N","OC(CCC1=CC=CC=C1)=O","3-phenylpropionate (hydrocinnamate)","3-phenylpropionate (hydrocinnamate)","501-52-0","10181339","HMDB0000764","C05629","107","Neg"
100000011,209,57745,213340,"Amino Acid","Phenylalanine Metabolism",160,"NAMED","WLJVXDMOQOGPHL-UHFFFAOYSA-N","O=C(O)CC1=CC=CC=C1","phenylacetate","phenylacetate","103-82-2","10181341","HMDB0000209","C07086","999","Neg"
100000014,209,15753,124647,"Xenobiotics","Benzoate Metabolism",4483,"NAMED","QIAFMBKCNZACKA-UHFFFAOYSA-N","O=C(C1=CC=CC=C1)NCC(O)=O","hippurate","hippurate","495-69-2","451","HMDB0000714","C01586","464","Neg"
100000015,400,15679,155571,"Amino Acid","Tryptophan Metabolism",283,"NAMED","FBZONXHGGPHHIY-UHFFFAOYSA-N","OC1=C2C(C(O)=CC(C(O)=O)=N2)=CC=C1","xanthurenate","xanthurenate","59-007","5497","HMDB0000881","C02470","5699","Pos Early"
100000016,305,15730,145770,"Lipid","Fatty Acid, Dicarboxylate",1694,"NAMED","TYFQFVWCELRYAO-UHFFFAOYSA-N","OC(CCCCCCC(O)=O)=O","suberate (C8-DC)","suberate (C8-DC)","505-48-6","10025","HMDB0000893","C08278","10457","Polar"
100000036,209,15676,123263,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",399,"NAMED","JVQYSWDUAOAHFM-UHFFFAOYSA-N","CCC(C)C(C(O)=O)=O","3-methyl-2-oxovalerate","3-methyl-2-oxovalerate","51829-07-3,1460-34-0","46","HMDB0000491","C03465,C06008,C00671","439286,440877","Neg"
100000039,400,18374,155665,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",446,"NAMED","QEFRNWWLZKMPFJ-YGVKFDHGSA-N","O=C(O)[C@@H](N)CCS(C)=O","methionine sulfoxide","methionine sulfoxide","3226-65-1","139840","HMDB0002005","C02989","158980","Pos Early"
100000042,209,15677,123265,"Amino Acid","Histidine Metabolism",74,"NAMED","JDHILDINMRGULE-LURJTMIESA-N","N[C@H](C(O)=O)CC1=CN=CN1C","3-methylhistidine","3-methylhistidine","368-16-1","58494","HMDB0000479","C01152","64969","Neg"
100000044,209,15747,123273,"Amino Acid","Histidine Metabolism",89,"NAMED","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1C[C@@H]([C@@](O)=O)NC(CCN)=O","anserine","anserine","10030-52-1","100482","HMDB0000194","C01262","112072","Neg"
100000054,400,15685,155573,"Amino Acid","Lysine Metabolism",121,"NAMED","YSMODUONRAFBET-AKGZTFGVSA-N","N[C@@H](CCC(O)CN)C(O)=O","5-hydroxylysine","5-hydroxylysine","13204-98-3","1002","HMDB0000450","C16741","3032849","Pos Early"
100000092,305,15306,145760,"Carbohydrate","Fructose, Mannose and Galactose Metabolism",1386,"NAMED","VBUYCZFBVCCYFD-NUNKFHFFSA-N","OC[C@H](O)[C@@H](O)[C@H](O)C(C(O)=O)=O","2-ketogulonate","2-ketogulonate","342385-52-8","92502","HMDB0011732","C15673","102424","Polar"
100000096,400,15681,155572,"Amino Acid","Guanidino and Acetamido Metabolism",571,"NAMED","TUHVEAJXIMEOSA-UHFFFAOYSA-N","N=C(N)NCCCC(O)=O","4-guanidinobutanoate","4-guanidinobutanoate","463-003,463-00-3","486","HMDB0003464","C01035","500","Pos Early"
100000101,305,15704,147156,"Lipid","Fatty Acid, Dicarboxylate",1691,"NAMED","WLJVNTCWHIRURA-UHFFFAOYSA-N","OC(CCCCCC(O)=O)=O","pimelate (C7-DC)","pimelate (C7-DC)","111-16-0","376","HMDB0000857","C02656","385","Polar"
100000110,400,15308,155543,"Amino Acid","Lysine Metabolism",136,"NAMED","VHRGRCVQAFMJIZ-UHFFFAOYSA-N","NCCCCCN","cadaverine","cadaverine","462-94-2,1476-39-7","13866593","HMDB0002322","C01672","273","Pos Early"
100000112,400,33951,156049,"Amino Acid","Creatine Metabolism",538,"NAMED","DRBBFCLWYRJSJZ-UHFFFAOYSA-N","N=C(N(C)CC(O)=O)NP(O)(O)=O","creatine phosphate","creatine phosphate","922-32-7,67-07-2","567","HMDB0001511","C02305","9548602,587","Pos Early"
100000125,400,15949,155608,"Nucleotide","Pyrimidine Metabolism, Cytidine containing",4282,"NAMED","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","[H][C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(N)C=C2)=O)[H]","2'-deoxycytidine","2'-deoxycytidine","951-77-9","13117","HMDB0000014","C00881","13711","Pos Early"
100000257,305,15443,146478,"Carbohydrate","Aminosugar Metabolism",1424,"NAMED","AEMOLEFTQBMNLQ-QIUUJYRFSA-N","O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O","glucuronate","glucuronate","207300-70-7","58552","HMDB0000127","C16245","441478,23677976,94715,65041,444791","Polar"
100000258,400,43847,157058,"Lipid","Glycerolipid Metabolism",2861,"NAMED","AWUCVROLDVIAJX-UHFFFAOYSA-N","O=P(O)(OCC(CO)O)O","glycerol 3-phosphate","glycerol 3-phosphate","29849-82-9","734","HMDB0000126","C0093","754","Pos Early"
100000263,400,15716,155583,"Amino Acid","Histidine Metabolism",85,"NAMED","ACZFBYCNAVEFLC-UHFFFAOYSA-N","OC(C(O)=O)CC1=CN=CN1","imidazole lactate","imidazole lactate","14403-45-3","389128","HMDB0002320","C05568","793","Pos Early"
100000265,400,15140,155539,"Amino Acid","Tryptophan Metabolism",272,"NAMED","YGPSJZOEDVAXAB-QMMMGPOBSA-N","N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O","kynurenine","kynurenine","2922-83-0","141580","HMDB0000684","C00328","161166","Pos Early"
100000269,400,15990,155613,"Lipid","Phospholipid Metabolism",2254,"NAMED","SUHOQUVVVLNYQR-MRVPVSSYSA-N","O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO","glycerophosphorylcholine (GPC)","glycerophosphorylcholine (GPC)","28319-77-9","571409","HMDB0000086","C00670","71920","Pos Early"
100000282,400,15720,155584,"Amino Acid","Glutamate Metabolism",49,"NAMED","RFMMMVDNIPUKGG-YFKPBYRVSA-N","O=C(O)CC[C@@H](C(O)=O)NC(C)=O","N-acetylglutamate","N-acetylglutamate","5817-08-3","1266066","HMDB0001138","C00624","70914","Pos Early"
100000285,400,32984,155994,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",516,"NAMED","JRLGPAXAGHMNOL-LURJTMIESA-N","NCCC[C@@H](C(O)=O)NC(C)=O","N-alpha-acetylornithine","N-alpha-acetylornithine","6205-08-9","388369","HMDB0003357","C00437","439232","Pos Early"
100000295,305,15336,152130,"Xenobiotics","Food Component/Plant",5096,"NAMED","FEWJPZIEWOKRBE-JCYAYHJZSA-N","OC([C@H](O)[C@@H](O)C(O)=O)=O","tartarate","tartarate","87-69-4,6106-24-7","852","HMDB0000956,HMDB0062642","C00552,C02107,C00898","444305,875","Polar"
100000299,305,15136,146884,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4143,"NAMED","UBORTCNDUKBEOP-UUOKFMHZSA-N","OC1=C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C2=NC(O)=N1","xanthosine","xanthosine","146-80-5","58484","HMDB0000299","C01762","64959","Polar"
100000406,305,15772,146492,"Carbohydrate","Pentose Metabolism",1279,"NAMED","HEBKCHPVOIAQTA-ZXFHETKHSA-N","OC[C@@H](O)[C@@H](O)[C@@H](O)CO","ribitol","ribitol","488-81-3","10254628","HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532","6912","Polar"
100000409,305,15667,152132,"Xenobiotics","Food Component/Plant",4802,"NAMED","BITYXLXUCSKTJS-UHFFFAOYSA-N","OC(CC(O)=O)(C(C)C)C(O)=O","2-isopropylmalate","2-isopropylmalate","3237-44-3","76","HMDB0000402","C02504","77","Polar"
100000442,305,18335,146498,"Xenobiotics","Food Component/Plant",4927,"NAMED","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H]","quinate","quinate","77-95-2","10246715","HMDB0003072","C00296","6508","Polar"
100000447,305,18280,152144,"Amino Acid","Tyrosine Metabolism",224,"NAMED","WXTMDXOMEHJXQO-UHFFFAOYSA-N","O=C(O)C1=CC(O)=CC=C1O","gentisate","gentisate","490-79-9","3350","HMDB0000152","C00628","3469","Polar"
100000454,400,18319,155648,"Amino Acid","Lysine Metabolism",138,"NAMED","JJMDCOVWQOJGCB-UHFFFAOYSA-N","OC(CCCCN)=O","5-aminovalerate","5-aminovalerate","660-88-8","135","HMDB0003355","C00431","138","Pos Early"
100000455,305,18373,147757,"Energy","TCA Cycle",1473,"NAMED","LVHBHZANLOWSRM-UHFFFAOYSA-N","C=C(C(O)=O)CC(O)=O","itaconate","itaconate","97-65-4","789","HMDB0002092","C00490","811","Polar"
100000459,400,46732,238381,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",521,"NAMED","PMMYEEVYMWASQN-UHFFFAOYSA-N","O=C(O)C(C1)NCC1O","cis-4-hydroxyproline","cis-4-hydroxyproline","2584-71-6","802","HMDB0060460","C03440","440014","Pos Early"
100000463,209,18349,124659,"Amino Acid","Tryptophan Metabolism",303,"NAMED","XGILAAMKEQUXLS-UHFFFAOYSA-N","OC(C(O)=O)CC1=CNC2=C1C=CC=C2","indolelactate","indolelactate","832-97-3","83867","HMDB0000671","C02043","92904","Neg"
100000467,209,27672,123315,"Amino Acid","Tryptophan Metabolism",327,"NAMED","BXFFHSIDQOFMLE-UHFFFAOYSA-N","O=S(OC2=CNC1=CC=CC=C12)(O)=O","3-indoxyl sulfate","3-indoxyl sulfate","2642-37-7","9840","HMDB0000682",NA,"10258","Neg"
100000487,400,18357,155655,"Peptide","Dipeptide",845,"NAMED","STKYPAFSDFAEPH-LURJTMIESA-N","CC(C)[C@@H](C(O)=O)NC(CN)=O","glycylvaline","glycylvaline","1963-21-9","2006926","HMDB0028854",NA,"2724807","Pos Early"
100000491,400,33422,156014,"Peptide","Gamma-glutamyl Amino Acid",659,"NAMED","XHHOHZPNYFQJKL-QWRGUYRKSA-N","O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O","gamma-glutamylphenylalanine","gamma-glutamylphenylalanine","7432-24-8","99868","HMDB0000594",NA,"111299","Pos Early"
100000551,209,22116,124905,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",348,"NAMED","BKAJNAXTPSGJCU-UHFFFAOYSA-N","CC(C)CC(C(O)=O)=O","4-methyl-2-oxopentanoate","4-methyl-2-oxopentanoate","816-66-0","69","HMDB0000695","C00233","70","Neg"
100000580,209,20675,123293,"Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,"NAMED","MPCAJMNYNOGXPB-SLPGGIOYSA-N","O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O","1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)","154-58-5",NA,"HMDB0002712","C07326","64960","Neg"
100000584,209,19266,125764,"Lipid","Monoacylglycerol",2892,"NAMED","RCRCTBLIHCHWDZ-DOFZRALJSA-N","CCCCC\C=C/C\C=C/C\C=C/C/C=C\CCCC(OC(CO)CO)=O","2-arachidonoylglycerol (20:4)","2-arachidonoylglycerol (20:4)","53847-30-6","4445451","HMDB0004666","C13856","5282280","Neg"
100000611,402,20458,164193,"Lipid","Lysoplasmalogen",2849,"NAMED","VLBPIWYTPAXCFJ-XMMPIXPASA-N","CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)O","1-palmityl-GPC (O-16:0)","1-palmityl-GPC (O-16:0)","52691-62-0","3845",NA,NA,"3983","Pos Late"
100000616,402,52449,208070,"Lipid","Phosphatidylinositol (PI)",2574,"NAMED","KRTOMQDUKGRFDJ-YKOKTLGVSA-N","CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","383907-33-3","21403055","HMDB0009815",NA,NA,"Pos Late"
100000626,402,34445,158668,"Lipid","Sphingosines",3181,"NAMED","DUYSYHSSBDVJSM-KRWOKUGFSA-N","OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O","sphingosine 1-phosphate","sphingosine 1-phosphate","26993-30-6","4446673","HMDB0000277","C06124","5283560","Pos Late"
100000656,209,19324,128173,"Lipid","Lysophospholipid",2739,"NAMED","MXAFDFDAIFZFET-CLBYPKMISA-N","[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O","1-stearoyl-GPI (18:0)","1-stearoyl-GPI (18:0)","796963-93-4","21403067","HMDB0240261",NA,"71581135,42607495","Neg"
100000657,402,19130,164201,"Lipid","Phosphatidylcholine (PC)",2296,"NAMED","KILNVBDSWZSGLL-KXQOOQHDSA-N","CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O","1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)","63-89-8","398235","HMDB0000564","D03585","452110","Pos Late"
100000660,402,19132,164204,"Lipid","Phosphatidylcholine (PC)",2339,"NAMED","NRJAVPSFFCBXDT-HUESYALOSA-N","CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCCCC)=O)=O","1,2-distearoyl-GPC (18:0/18:0)","1,2-distearoyl-GPC (18:0/18:0)","816-94-4","85004","HMDB0008036",NA,"94190","Pos Late"
100000665,209,44675,126139,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1581,"NAMED","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)","6217-54-5","393183","HMDB0002183","C06429","445580","Neg"
100000672,402,19258,164196,"Lipid","Phosphatidylcholine (PC)",2280,"NAMED","RFVFQQWKPSOBED-PSXMRANNSA-N","CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","69525-80-0","114798","HMDB0007869",NA,"129657","Pos Late"
100000706,209,22132,124683,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",352,"NAMED","LVRFTAZAXQPQHI-UHFFFAOYSA-N","OC(C(CC(C)C)O)=O","alpha-hydroxyisocaproate","alpha-hydroxyisocaproate","10303-64-7","75520","HMDB0000665,HMDB00746,HMDB0000624","C03264","83697,92779,439960","Neg"
100000708,209,44656,126996,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",356,"NAMED","GWYFCOCPABKNJV-UHFFFAOYSA-N","CC(C)CC(O)=O","isovalerate (i5:0)","isovalerate (C5)","503-74-2","10001","HMDB0000718","C08262","10430","Neg"
100000711,209,44620,126992,"Xenobiotics","Benzoate Metabolism",4539,"NAMED","HOFGLAYWQRGTKC-UHFFFAOYSA-N","O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O","4-acetylphenol sulfate","4-acetylphenyl sulfate",NA,"3872009",NA,NA,"4684006","Neg"
100000715,400,48114,157704,"Amino Acid","Guanidino and Acetamido Metabolism",570,"NAMED","CHJJGSNFBQVOTG-UHFFFAOYSA-N","N=C(N)NC","1-methylguanidine","1-methylguanidine","22661-87-6","28576","HMDB0001522","C02294","10111","Pos Early"
100000743,209,22036,126061,"Lipid","Fatty Acid, Monohydroxy",1978,"NAMED","JKRDADVRIYVCCY-UHFFFAOYSA-N","O=C(C(CCCCCC)O)O","2-hydroxyoctanoate","2-hydroxyoctanoate","617-73-2","84994","HMDB0002264",NA,"94180,6995013,5312860","Neg"
100000763,400,22119,155786,"Nucleotide","Pyrimidine Metabolism, Cytidine containing",4275,"NAMED","ZAYHVCMSTBRABG-JXOAFFINSA-N","O[C@H]1[C@@H](O)[C@H](N2C(N=C(N)C(C)=C2)=O)O[C@@H]1CO","5-methylcytidine","5-methylcytidine","2140-61-6","83877","HMDB0000982",NA,"92918","Pos Early"
100000773,209,22001,126860,"Lipid","Fatty Acid, Monohydroxy",1998,"NAMED","NDPLAKGOSZHTPH-UHFFFAOYSA-N","OC(CC(O)=O)CCCCC","3-hydroxyoctanoate","3-hydroxyoctanoate","88930-08-9","24791","HMDB0001954","C20793","26613","Neg"
100000774,209,22130,124681,"Amino Acid","Phenylalanine Metabolism",156,"NAMED","VOXXWSYKYCBWHO-UHFFFAOYSA-N","OC(C(O)=O)CC1=CC=CC=C1","phenyllactate (PLA)","phenyllactate (PLA)","828-01-3","3715","HMDB0000779,HMDB0000563","C05607","3848","Neg"
100000776,402,44681,159624,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1882,"NAMED","XOMRRQXKHMYMOC-UHFFFAOYSA-N","[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O","palmitoylcarnitine (C16)","palmitoylcarnitine (C16)","6865-14-1","448","HMDB0000222","C02990","461","Pos Late"
100000781,400,32328,155906,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1862,"NAMED","VVPRQWTYSNDTEA-UHFFFAOYSA-N","O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C","hexanoylcarnitine (C6)","hexanoylcarnitine (C6)","6920-35-0","4932273","HMDB0000756",NA,"6426853","Pos Early"
100000787,305,22185,147184,"Amino Acid","Alanine and Aspartate Metabolism",37,"NAMED","OTCCIMWXFLJLIA-BYPYZUCNSA-N","OC([C@@H](NC(C)=O)CC(O)=O)=O","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)","997-55-7,997-55-7","58576","HMDB0000812","C01042","65065","Polar"
100000800,209,22114,126063,"Amino Acid","Tryptophan Metabolism",309,"NAMED","PLVPPLCLBIEYEA-AATRIKPKSA-N","O=C(O)/C=C/C1=CNC2=C1C=CC=C2","indoleacrylate","indoleacrylate","1204-06-4","4524636","HMDB0000734",NA,"5375048","Neg"
100000802,400,32198,155890,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",1858,"NAMED","RDHQFKQIGNGIED-MRVPVSSYSA-N","C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O","acetylcarnitine (C2)","acetylcarnitine (C2)","5080-50-2","5406074","HMDB0000201","C02571","7045767","Pos Early"
100000808,400,22176,155804,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",467,"NAMED","NOKPBJYHPHHWAN-REOHCLBHSA-N","N[C@H](C(O)=O)CSS(O)(=O)=O","cysteine s-sulfate","cysteine s-sulfate","1637-71-4","102939","HMDB0000731","C05824","115015","Pos Early"
100000827,209,21127,126053,"Lipid","Monoacylglycerol",2870,"NAMED","QHZLMUACJMDIAE-UHFFFAOYSA-N","O=C(CCCCCCCCCCCCCCC)OCC(O)CO","1-palmitoylglycerol (16:0)","1-palmitoylglycerol (16:0)","542-44-9","14201","HMDB0011564",NA,"14900","Neg"
